Time (s),Sigma_x / E (-),Sigma_y / E (-),Sigma_z / E (-),Tau_xyz (MPa),Sigma_eq (MPa),Lambda (-)
0.25415415415415415,0.8686854883000681,0.866709631718457,0.868684070235001,-147.5964465903613,470.5342783375503,1.8648074278116533
0.25425425425425424,0.8675073119413318,0.8655311651264324,0.8675058934621913,-147.61804017485622,470.6032960770568,1.8659311271119987
0.2543543543543544,0.8663274673239835,0.864351029992602,0.8663260484303086,-147.6396548038786,470.67238113169316,1.867056417622385
0.25445445445445447,0.8651459497170291,0.8631692215852191,0.865144530408358,-147.66129053339318,470.74153368052185,1.868183303855335
0.25455455455455456,0.8639627543693208,0.861985735152378,0.8639613346451899,-147.682947419604,470.8107539034754,1.8693117903425964
0.25465465465465464,0.8627778765094417,0.8608005659219038,0.8627764563693865,-147.70462551893166,470.88004198082416,1.8704418816352484
0.25475475475475473,0.8615913113455929,0.8596137091012345,0.8615898907891472,-147.72632488803782,470.949398093945,1.8715735823038122
0.2548548548548549,0.8604030540654738,0.8584251598773043,0.8604016330921708,-147.74804558380458,471.0188224247462,1.8727068969383633
0.25495495495495496,0.8592130998361691,0.8572349134164291,0.8592116784455409,-147.76978766334315,471.08831515597666,1.8738418301486401
0.25505505505505505,0.858021443804028,0.856042964864186,0.8580200219956046,-147.79155118401,471.15787647108965,1.8749783865641603
0.25515515515515513,0.856828081094545,0.8548493093452945,0.8568266588678558,-147.81333620339313,471.2275065543341,1.8761165708343315
0.2552552552552553,0.8556330068122419,0.8536539419634989,0.8556315841668148,-147.83514277928134,471.29720559053504,1.877256387628567
0.25535535535535536,0.854436216040548,0.852456857801447,0.8544347929759097,-147.85697096974167,471.36697376542656,1.878397841636398
0.25545545545545545,0.8532377038416761,0.8512580519205666,0.8532362803573521,-147.87882083307605,471.4368112656103,1.8795409375675929
0.25555555555555554,0.852037465256502,0.8500575193609463,0.8520360413520167,-147.90069242779498,471.5067182782092,1.8806856801522716
0.2556556556556557,0.8508354953044412,0.8488552551412103,0.8508340709793171,-147.92258581268328,471.5766949912442,1.881832074141024
0.25575575575575576,0.8496317889833257,0.8476512542583962,0.8496303642370839,-147.94450104673928,471.6467415935397,1.8829801243050261
0.25585585585585585,0.8484263412692769,0.8464455116878281,0.8484249161014373,-147.96643818922817,471.71685827460357,1.884129835436163
0.25595595595595594,0.847219147116581,0.8452380223829923,0.8472177215266629,-147.98839729962793,471.7870452246616,1.8852812123471459
0.2560560560560561,0.8460102014575615,0.8440287812754076,0.8460087754450829,-148.01037843769674,471.85730263496157,1.8864342598716342
0.25615615615615617,0.8447994992024559,0.842817783274504,0.8447980727669326,-148.03238166341546,471.92763069737725,1.887588982864355
0.25625625625625625,0.8435870352392801,0.8416050232674875,0.8435856083802277,-148.05440703702422,471.9980296045026,1.88874538620123
0.25635635635635634,0.8423728044337045,0.8403904961192131,0.842371377150636,-148.0764546190152,472.0684995500194,1.8899034747794954
0.2564564564564564,0.8411568016289205,0.8391741966720554,0.8411553739213478,-148.09852447011497,472.1390407281038,1.8910632535178278
0.25655655655655657,0.839939021645509,0.8379561197457743,0.8399375935129434,-148.12061665132816,472.2096533339497,1.8922247273564696
0.25665665665665666,0.8387194592813123,0.8367362601373881,0.8387180307232632,-148.14273122388997,472.28033756340415,1.8933879012573538
0.25675675675675674,0.8374981093112948,0.8355146126210337,0.8374966803272702,-148.16486824930038,472.35109361316717,1.8945527802042335
0.2568568568568569,0.8362749664874114,0.834291171947834,0.8362735370769182,-148.18702778932024,472.4219216809278,1.8957193692028087
0.256956956956957,0.835050025538474,0.8330659328457674,0.8350485957010181,-148.20920990595488,472.49282196494653,1.8968876732808542
0.25705705705705706,0.8338232811700125,0.8318388900195248,0.833821850905098,-148.23141466149235,472.56379466451983,1.8980576974883523
0.25715715715715715,0.8325947280641388,0.8306100381503766,0.8325932973712679,-148.25364211846036,472.6348399796621,1.8992294468976219
0.25725725725725723,0.8313643608794075,0.8293793718960327,0.8313629297580818,-148.27589233965793,472.7059581112239,1.9004029266034508
0.2573573573573574,0.8301321742506775,0.8281468858905023,0.8301307427003966,-148.29816538814885,472.77714926105915,1.9015781417232294
0.25745745745745746,0.8288981627889722,0.8269125747439572,0.8288967308092349,-148.32046132726586,472.8484136316946,1.902755097397082
0.25755755755755755,0.8276623210813361,0.8256764330425861,0.8276608886716396,-148.34278022059237,472.91975142652166,1.9039337987880052
0.25765765765765763,0.8264246436906938,0.824438455348454,0.8264232108505337,-148.36512213199333,472.9911628498459,1.9051142510820016
0.2577577577577578,0.8251851251557057,0.823198636199358,0.8251836918845765,-148.38748712561863,473.0626481068908,1.906296459488218
0.25785785785785786,0.8239437599906254,0.8219569701086847,0.8239423262880202,-148.40987526585712,473.134207403672,1.9074804292390801
0.25795795795795795,0.8227005426851512,0.820713451565262,0.8226991085505612,-148.43228661739624,473.2058409470996,1.9086661655904367
0.25805805805805804,0.8214554677042809,0.8194680750332135,0.821454033137196,-148.4547212451902,473.27754894495007,1.9098536738216954
0.2581581581581582,0.8202085294881627,0.8182208349518099,0.8202070944880717,-148.4771792144629,473.34933160586803,1.9110429592359661
0.25825825825825827,0.8189597224519495,0.8169717257353218,0.8189582870183398,-148.49966059072102,473.4211891394841,1.9122340271602003
0.25835835835835835,0.817709040985645,0.8157207417728676,0.817707605118002,-148.52216543976647,473.4931217562416,1.9134268829453374
0.25845845845845844,0.8164564794539537,0.8144678774282631,0.816455043151762,-148.5446938276602,473.56512966743037,1.9146215319664472
0.2585585585585586,0.8152020321961293,0.813213127039868,0.8152005954588714,-148.56724582076734,473.63721308544416,1.9158179796228763
0.25865865865865867,0.8139456935258222,0.8119564849204371,0.8139442563529794,-148.58982148570865,473.70937222327365,1.9170162313383916
0.25875875875875876,0.8126874577309212,0.8106979453569576,0.8126860201219738,-148.61242088941387,473.78160729516964,1.9182162925613324
0.25885885885885884,0.811427319073401,0.8094375026104998,0.8114258810278273,-148.63504409909316,473.85391851607346,1.9194181687647551
0.25895895895895893,0.8101652717891649,0.8081751509160585,0.810163833306441,-148.65769118224483,473.926306101893,1.9206218654465854
0.25905905905905907,0.808901310087883,0.8069108844823913,0.8088998711674849,-148.68036220667247,473.99877026958865,1.9218273881297683
0.25915915915915916,0.8076354281528396,0.8056446974918663,0.8076339887942412,-148.7030572404606,474.07131123694586,1.9230347423624181
0.25925925925925924,0.806367620140766,0.8043765841002944,0.8063661803434393,-148.72577635197717,474.14392922262624,1.924243933717976
0.2593593593593594,0.805097880181681,0.80310653843677,0.8050964399450969,-148.74851960990614,474.2166244464477,1.9254549677953616
0.2594594594594595,0.80382620237873,0.8018345546035102,0.803824761702358,-148.77128708323036,474.28939712903195,1.926667850219127
0.25955955955955956,0.8025525808080174,0.8005606266756874,0.8025511396913254,-148.79407884121753,474.3622474919163,1.9278825866396174
0.25965965965965965,0.8012770095184423,0.7992847487012642,0.8012755679608969,-148.8168949534444,474.435175757727,1.9290991827331267
0.25975975975975973,0.7999994825315332,0.7980069147008284,0.7999980405325987,-148.8397354897814,474.5081821499768,1.9303176442020566
0.2598598598598599,0.7987199938412769,0.7967271186674219,0.7987185514004164,-148.86260052043588,474.5812668932748,1.931537976775078
0.25995995995995996,0.797438537413952,0.7954453545663751,0.7974370945306274,-148.88549011588046,474.6544302130505,1.93276018620729
0.26006006006006005,0.7961551071879558,0.7941616163351319,0.7961536638616272,-148.90840434693393,474.7276723358595,1.9339842782803867
0.26016016016016014,0.7948696970736341,0.7928758978830808,0.7948682533037597,-148.93134328469532,474.8009934892388,1.9352102588028182
0.2602602602602603,0.7935823009531054,0.7915881930913795,0.7935808567391421,-148.95430700059862,474.87439390158664,1.9364381336099583
0.26036036036036037,0.7922929126800903,0.7902984958127833,0.7922914680214939,-148.97729556637856,474.9478738023819,1.9376679085642674
0.26046046046046045,0.7910015260797317,0.7890067998714645,0.7910000809759555,-149.0003090540919,475.02143342224014,1.938899589555465
0.26056056056056054,0.7897081349484181,0.7877130990628383,0.7897066893989145,-149.02334753612044,475.0950729925923,1.940133182500696
0.2606606606606607,0.7884127330536056,0.7864173871533819,0.7884112870578254,-149.04641108515216,475.1687927460546,1.941368693344703
0.26076076076076077,0.7871153141336391,0.7851196578804578,0.7871138676910311,-149.0694997742053,475.2425929161714,1.9426061280599949
0.26086086086086085,0.7858158718975674,0.7838199049521267,0.7858144250075785,-149.0926136766239,475.3164737376641,1.9438454926470248
0.26096096096096094,0.7845144000249615,0.7825181220469698,0.7845129526870378,-149.11575286606796,475.39043544603476,1.9450867931343612
0.2610610610610611,0.783210892165731,0.7812143028139,0.7832094443793166,-149.13891741654268,475.46447827803604,1.9463300355788657
0.26116116116116117,0.781905341939939,0.7799084408719795,0.7819038937044762,-149.16210740236608,475.5386024715476,1.9475752260658679
0.26126126126126126,0.7805977429376119,0.7786005298102308,0.7805962942525414,-149.18532289819294,475.6128082652779,1.9488223707093475
0.26136136136136134,0.779288088718552,0.7772905631874462,0.779286639583313,-149.20856397901707,475.6870958992255,1.950071475652112
0.26146146146146143,0.7779763728121479,0.7759785345320006,0.777974923226178,-149.23183072016994,475.7614656143384,1.9513225470659787
0.2615615615615616,0.7766625887171814,0.7746644373416577,0.7766611386799165,-149.25512319731448,475.83591765264225,1.9525755911519591
0.26166166166166166,0.775346729901637,0.7733482650833786,0.7753452794125109,-149.27844148644877,475.9104522573145,1.9538306141404396
0.26176176176176175,0.7740287898025023,0.7720300111931236,0.7740273388609474,-149.301785663932,475.9850696725963,1.9550876222913718
0.2618618618618619,0.7727087618255745,0.770709669075658,0.7727073104310219,-149.32515580644426,476.05977014379255,1.9563466218944583
0.261961961961962,0.7713866393452641,0.7693872321043551,0.7713851874971429,-149.34855199103546,476.13455391737375,1.9576076192693386
0.26206206206206206,0.7700624157043918,0.7680626936209937,0.770060963402129,-149.3719742950898,476.2094212409688,1.958870620765784
0.26216216216216215,0.7687360842139891,0.7667360469355594,0.7687346314570105,-149.39542279633682,476.2843723631883,1.960135632763887
